name,key_word,sn,reviews
Towards Relaxing the Unbiasedness Condition of Doubly Robust Estimators for Debiased Recommendation,"['Recommender system', ' Selection bias', ' Doubly robust']",9439,"[{'mark': [3, 3, 3], 'rate': 8, 'confidence': 3}, {'mark': [3, 3, 3], 'rate': 6, 'confidence': 3}, {'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 4}]"
Instruct2Act: Mapping Multi-modality Instructions to Robotic Arm Actions with Large Language Model,"['large language models', ' robotic manipulation', ' code generation']",9438,"[{'mark': [3, 2, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 4, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 3, 3], 'rate': 6, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 5, 'confidence': 4}]"
Beyond Disentanglement: On the Orthogonality of Learned Representations,"['Disentanglement', ' Orthogonality', ' Unsupervised Learning', ' Representation Learning', ' DCI', ' DCI-ES']",9436,"[{'mark': [3, 1, 3], 'rate': 5, 'confidence': 3}, {'mark': [3, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 5, 'confidence': 3}, {'mark': [3, 3, 3], 'rate': 6, 'confidence': 5}]"
Directional Rank Reduction for Backdoor Defense,"['backdoor defense', ' backdoor attack', ' neuron pruning']",9434,"[{'mark': [2, 3, 3], 'rate': 5, 'confidence': 4}, {'mark': [3, 2, 3], 'rate': 5, 'confidence': 4}, {'mark': [3, 3, 3], 'rate': 6, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 5, 'confidence': 3}]"
Regulation Games for Trustworthy Machine Learning,"['privacy', ' fairness', ' regulation', ' game']",9431,"[{'mark': [3, 2, 3], 'rate': 5, 'confidence': 4}, {'mark': [1, 2, 1], 'rate': 3, 'confidence': 3}, {'mark': [2, 2, 2], 'rate': 5, 'confidence': 3}]"
3D Molecular Pretraining via Localized Geometric Generation,['molecular repsentation; self-supervised learning'],9430,"[{'mark': [2, 3, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 3, 2], 'rate': 3, 'confidence': 5}]"
CLIP Exhibits Improved Compositional Generalization Through Representation Disentanglement,"['Compositional generalization', ' Out-of-distribution generalization', ' Vision-language models', ' CLIP', ' Disentangled representations', ' Language supervision', ' data-centric AI']",9428,"[{'mark': [3, 2, 3], 'rate': 5, 'confidence': 3}, {'mark': [2, 2, 3], 'rate': 3, 'confidence': 3}, {'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}]"
Disentanglement Learning via Topology,"['representation learning', ' variational autoencoders', ' disentangled representations', ' topological data analysis']",9426,"[{'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 2, 3], 'rate': 5, 'confidence': 3}, {'mark': [3, 2, 2], 'rate': 5, 'confidence': 3}]"
Object-Centric Noise Filtering in Neural Radiance Fields via Influence Functions and Segmentation,"['NeRF', ' robust learning']",9421,"[{'mark': [2, 2, 1], 'rate': 3, 'confidence': 4}, {'mark': [2, 1, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 5, 'confidence': 3}]"
Unified Language Model Alignment with Demonstration and Point-wise Human Preference,"['Large Language Model', ' Alignment', ' Point-wise preference']",9420,"[{'mark': [3, 3, 3], 'rate': 5, 'confidence': 4}, {'mark': [3, 4, 3], 'rate': 5, 'confidence': 4}, {'mark': [3, 3, 4], 'rate': 6, 'confidence': 3}, {'mark': [1, 2, 2], 'rate': 3, 'confidence': 3}]"
DisFormer: Disentangled Object Representations for Learning Visual Dynamics Via Transformers,"['Unsupervised Visual dynamics prediction', ' object centric representation', ' disentangled representation']",9419,"[{'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [3, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 2, 3], 'rate': 5, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 3}]"
Why are hyperbolic neural networks effective? A study on hierarchical representation capability,"['Hyperbolic space', ' hyperbolic neural networks', ' hierarchical structure']",9418,"[{'mark': [3, 3, 3], 'rate': 3, 'confidence': 4}, {'mark': [3, 3, 3], 'rate': 5, 'confidence': 3}, {'mark': [3, 1, 2], 'rate': 3, 'confidence': 3}]"
Large Language Models as superpositions of cultural perspectives,"['Large Language Models', ' context-dependence', ' controllability', ' cultural values', ' personal values', ' personality traits', ' societal considerations', ' Shalom H Schwartz', ' Geert Hofstede', ' Big Five']",9417,"[{'mark': [2, 2, 2], 'rate': 5, 'confidence': 3}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [1, 2, 2], 'rate': 3, 'confidence': 4}]"
InstaTAP: Instance Motion Estimation for Tracking Any Point,"['Video Point Tracking', ' Point Tracking', ' Tracking', ' Spatial-Temporal Vision', ' Segment Anything Model']",9415,"[{'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 3, 2], 'rate': 3, 'confidence': 4}]"
An Enhanced Gromov-Wasserstein Barycenter Method for Graph-based Clustering,"['Gromov-Wasserstein Learning', ' Graph-based Clustering', ' Non-convex Optimization']",9414,"[{'mark': [4, 3, 3], 'rate': 6, 'confidence': 3}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [3, 2, 2], 'rate': 6, 'confidence': 3}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 5}]"
Physics-informed neural networks for transformed geometries and manifolds,"['physics-informed', ' neural networks', ' transformation', ' manifold', ' diffeomorphism', ' parametrized', ' geometry', ' reference domain', ' free boundary', ' shape optimization']",9410,"[{'mark': [2, 2, 1], 'rate': 1, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [3, 3, 3], 'rate': 6, 'confidence': 4}, {'mark': [2, 1, 2], 'rate': 3, 'confidence': 4}]"
Enhancing Neural Subset Selection: Integrating Background Information into Set Representations,"['Neural Set Function', ' Hierarchical Structure', ' Invariance', ' Subset Selection']",9406,"[{'mark': [2, 2, 2], 'rate': 5, 'confidence': 4}]"
Causal Impact Index: A Causal Formulation of Citations,"['High-dimensional causal inference', ' text analysis', ' matching', ' citation analysis', ' science of science']",9405,"[{'mark': [2, 3, 2], 'rate': 3, 'confidence': 3}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}]"
Node-CwR: Node Classification with Reject Option,"['Node classification', ' graph attention networks', ' reject option', ' label noise', ' label smoothing', ' robust learning']",9404,"[{'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 3, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 4}]"
Segment Anything Meets Universal Adversarial Perturbation,"['Universal Adversarial Perturbation', ' Adversarial Robustness', ' Segment Anything']",9403,"[{'mark': [2, 2, 2], 'rate': 1, 'confidence': 5}, {'mark': [3, 2, 2], 'rate': 5, 'confidence': 5}, {'mark': [3, 1, 2], 'rate': 3, 'confidence': 4}]"
Episode Transformer: Model-based Episodic Reinforcement Learning,"['Episodic RL', ' Model-based RL', ' Movement Primitives']",9399,"[{'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [2, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 2}]"
Everyone Deserves A Reward: Learning Customized Human Preferences,"['Human Preference Alignment', ' Large Language Model', ' Data Efficiency']",9397,"[{'mark': [4, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [3, 3, 2], 'rate': 5, 'confidence': 2}]"
Bridging Vision and Language Spaces with Assignment Prediction,"['Multimodal learning', ' vision-language tasks', ' frozen LLMs', ' optimal transport', ' assignment prediction']",9396,"[{'mark': [3, 3, 3], 'rate': 8, 'confidence': 3}, {'mark': [2, 3, 3], 'rate': 5, 'confidence': 4}, {'mark': [3, 4, 2], 'rate': 6, 'confidence': 5}, {'mark': [2, 3, 2], 'rate': 5, 'confidence': 5}, {'mark': [2, 3, 2], 'rate': 5, 'confidence': 4}]"
Fair Domain Generalization with Arbitrary Sensitive Attributes,"['domain generalization', ' fairness', ' multiple sensitive attributes']",9395,"[{'mark': [1, 2, 2], 'rate': 1, 'confidence': 5}, {'mark': [3, 2, 3], 'rate': 6, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 4}]"
Metanetwork: A novel approach to interpreting ANNs,"['AI interpretability', ' Model representation', ' Model capability', ' Autoencoder', ' Meta learning']",9394,"[{'mark': [1, 1, 2], 'rate': 1, 'confidence': 4}, {'mark': [3, 3, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 1, 2], 'rate': 3, 'confidence': 4}, {'mark': [1, 1, 1], 'rate': 3, 'confidence': 3}]"
Generative Judge for Evaluating Alignment,"['Generative', ' Evaluation', ' Alignment']",9392,"[{'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 2, 2], 'rate': 5, 'confidence': 3}, {'mark': [2, 2, 2], 'rate': 5, 'confidence': 2}]"
Rethinking and Extending the Probabilistic Inference Capacity of GNNs,"['graph neural networks', ' expressiveness', ' approximate inference']",9389,"[{'mark': [3, 2, 3], 'rate': 8, 'confidence': 2}, {'mark': [3, 3, 3], 'rate': 6, 'confidence': 2}, {'mark': [3, 3, 3], 'rate': 8, 'confidence': 3}, {'mark': [3, 3, 2], 'rate': 5, 'confidence': 3}, {'mark': [3, 3, 2], 'rate': 6, 'confidence': 3}]"
Recurrent Distance-Encoding Neural Networks for Graph Representation Learning,"['Recurrent Neural Networks', ' Graph Neural Networks']",9385,"[{'mark': [4, 3, 4], 'rate': 6, 'confidence': 3}, {'mark': [3, 3, 3], 'rate': 5, 'confidence': 3}, {'mark': [3, 3, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}]"
Learning model uncertainty as variance-minimizing instance weights,"['loss reweighting', ' epistemic uncertainty', ' bi-level optimization', ' model calibration', ' bayesian neural networks']",9383,"[{'mark': [4, 2, 3], 'rate': 8, 'confidence': 3}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [2, 3, 3], 'rate': 5, 'confidence': 3}]"
TVTSv2: Learning Out-of-the-box Spatiotemporal Visual Representations at Scale,"['Video Representation Learning', ' Out-of-the-box Video Representation', ' Scalable Video Pre-training']",9381,"[{'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 3, 3], 'rate': 8, 'confidence': 3}, {'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 3, 3], 'rate': 8, 'confidence': 4}]"
Controlled Text Generation via Language Model Arithmetic,"['Controlled text generation', ' LLM', ' Natural Language Processing']",9377,"[{'mark': [3, 3, 2], 'rate': 5, 'confidence': 3}, {'mark': [3, 4, 4], 'rate': 8, 'confidence': 3}, {'mark': [2, 4, 3], 'rate': 5, 'confidence': 3}, {'mark': [3, 3, 2], 'rate': 6, 'confidence': 3}, {'mark': [3, 3, 2], 'rate': 6, 'confidence': 3}]"
Tracking Cognitive Development of Large Language Models,"['Cognitive ability', ' benchmark', ' Large Language Models', "" Piaget's theory of cognitive development""]",9374,"[{'mark': [2, 3, 2], 'rate': 3, 'confidence': 4}, {'mark': [1, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [1, 2, 1], 'rate': 1, 'confidence': 5}, {'mark': [2, 3, 1], 'rate': 3, 'confidence': 5}]"
Black-box Targeted Adversarial Attack on Segment Anything (SAM),"['Black-box attack', ' adversarial robustness', ' segment anything']",9373,"[{'mark': [2, 3, 2], 'rate': 6, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 1, 'confidence': 5}, {'mark': [2, 2, 2], 'rate': 5, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}]"
Forward Learning with Top-Down Feedback: Empirical and Analytical Characterization,"['Forward-only learning', ' Biologically inspired learning', ' Artificial neural networks', ' Analytical characterization']",9371,"[{'mark': [4, 3, 4], 'rate': 8, 'confidence': 3}, {'mark': [3, 4, 3], 'rate': 8, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 2, 3], 'rate': 5, 'confidence': 3}]"
Do not Start with Trembling Hands: Improving Multi-agent Reinforcement Learning with Stable Prefix Policy,"['MARL', ' Trembling Hands', ' Exploration', ' Exploration', ' Prefix Policy']",9370,"[{'mark': [2, 3, 2], 'rate': 5, 'confidence': 3}, {'mark': [2, 2, 3], 'rate': 3, 'confidence': 4}, {'mark': [2, 1, 2], 'rate': 3, 'confidence': 4}]"
Chain-of-Symbol Prompting for Spatial Relationships in Large Language Models,"['Large Language Models', ' Prompting', ' Spatial Planning', ' Reasoning']",9367,"[{'mark': [2, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 5, 'confidence': 3}, {'mark': [3, 3, 3], 'rate': 6, 'confidence': 3}, {'mark': [3, 4, 3], 'rate': 6, 'confidence': 4}]"
Lightweight Graph Neural Network Search with Graph Sparsification,"['graph neural network', ' neural architecture search', ' graph sparsification']",9366,"[{'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 3, 3], 'rate': 8, 'confidence': 2}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 5}]"
RLP: A reinforcement learning benchmark for neural algorithmic reasoning,"['reinforcement learning', ' benchmark', ' algorithmic reasoning', ' logic puzzles']",9365,"[{'mark': [2, 3, 3], 'rate': 5, 'confidence': 4}, {'mark': [3, 3, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 3, 2], 'rate': 6, 'confidence': 3}, {'mark': [3, 3, 3], 'rate': 5, 'confidence': 4}]"
Vision Transformer with Irregular Attention,"['Deep Learning', ' DNN', ' Transformer', ' ViT', ' DeiT', ' Tensor Decomposition', ' Tensor Network', ' BTD', ' BTD-LL1', ' CPD', ' DNN Compression', ' DNN Acceleration']",9363,"[{'mark': [3, 2, 3], 'rate': 3, 'confidence': 4}, {'mark': [3, 2, 2], 'rate': 3, 'confidence': 2}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 3}, {'mark': [3, 2, 3], 'rate': 5, 'confidence': 3}]"
Towards Cross Domain Generalization of Hamiltonian Representation via Meta Learning,"['hamiltonian dynamics', ' cross domain generalization', ' learning physics', ' meta learning']",9361,"[{'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [2, 3, 2], 'rate': 3, 'confidence': 3}, {'mark': [3, 3, 3], 'rate': 6, 'confidence': 2}, {'mark': [2, 3, 2], 'rate': 5, 'confidence': 3}]"
UBERT: Unsupervised adaptive early exits in BERT,"['Early exits', ' Deep Neural Networks', ' BERT']",9356,"[{'mark': [2, 2, 3], 'rate': 3, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 5, 'confidence': 1}, {'mark': [1, 2, 3], 'rate': 5, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}]"
PEACH: Pretrained-embedding Explanation Across Contextual and Hierarchical Structure,"['Interpretability', ' Text classification', ' Global interpretation', ' Local interpretation']",9354,"[{'mark': [2, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [1, 2, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 3, 2], 'rate': 6, 'confidence': 3}]"
"ReLiK: Retrieve, Read and LinK: Fast and Accurate Entity Linking and Relation Extraction on an Academic Budget","['Information Extraction', ' Entity Linking', ' Relation Extraction', ' Natural Language Processing', ' NLP']",9353,"[{'mark': [2, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [2, 3, 3], 'rate': 6, 'confidence': 3}, {'mark': [2, 3, 3], 'rate': 6, 'confidence': 4}]"
What Makes Good Data for Alignment? A Comprehensive Study of Automatic Data Selection in Instruction Tuning,"['data selection', ' instruction tuning', ' large language models']",9349,"[{'mark': [2, 3, 3], 'rate': 6, 'confidence': 4}, {'mark': [3, 4, 2], 'rate': 5, 'confidence': 3}, {'mark': [2, 3, 1], 'rate': 3, 'confidence': 4}]"
Causality-Inspired Spatial-Temporal Explanations for Dynamic Graph Neural Networks,"['Dynamic Graph', ' Graph Explanation', ' Graph Neural Network', ' Causal Inference']",9348,"[{'mark': [3, 3, 2], 'rate': 3, 'confidence': 4}, {'mark': [3, 3, 3], 'rate': 8, 'confidence': 2}, {'mark': [2, 1, 2], 'rate': 3, 'confidence': 2}, {'mark': [2, 3, 2], 'rate': 5, 'confidence': 4}]"
Dissecting learning and forgetting in language model finetuning,"['language models', ' domain adaptation', ' catastrophic forgetting']",9346,"[{'mark': [3, 3, 2], 'rate': 5, 'confidence': 4}, {'mark': [3, 2, 3], 'rate': 5, 'confidence': 4}, {'mark': [2, 2, 2], 'rate': 5, 'confidence': 3}, {'mark': [3, 3, 3], 'rate': 8, 'confidence': 4}]"
